Date,Tide Level (cm)
2001-01-01,40.4225
2001-02-01,26.357093425605537
2001-03-01,41.762828535669584
2001-04-01,24.606060606060606
2001-05-01,29.250312109862673
2001-06-01,23.77699228791774
2001-07-01,25.405977584059777
2001-08-01,24.314837905236907
2001-09-01,33.56306306306306
2001-10-01,27.099750623441395
2001-11-01,24.02770618556701
2001-12-01,17.341220423412203
2002-01-01,5.860523038605231
2002-02-01,17.334254143646408
2002-03-01,17.23379052369077
2002-04-01,26.080645161290324
2002-05-01,23.275280898876403
2002-06-01,26.86439588688946
2002-07-01,26.427860696517413
2002-08-01,31.183520599250937
2002-09-01,35.99935442220787
2002-10-01,34.988139825218475
2002-11-01,47.170103092783506
2002-12-01,39.37375621890547
2003-01-01,34.83250311332503
2003-02-01,15.96950796950797
2003-03-01,7.4943890274314215
2003-04-01,19.824516129032258
2003-05-01,17.16729088639201
2003-06-01,23.409266409266408
2003-07-01,24.74113254511512
2003-08-01,25.625311720698253
2003-09-01,22.507751937984494
2003-10-01,34.35727670206121
2003-11-01,31.04774193548387
2003-12-01,27.404850746268657
2004-01-01,28.352904434728295
2004-02-01,18.49266666666667
2004-03-01,18.632334581772785
2004-04-01,27.22315653298836
2004-05-01,32.039850560398506
2004-06-01,26.62917737789203
2004-07-01,23.675591531755916
2004-08-01,28.42821473158552
2004-09-01,26.48198198198198
2004-10-01,38.15202492211838
2004-11-01,34.64819587628866
2004-12-01,28.016189290161893
2005-01-01,16.415990006246098
2005-02-01,17.933793103448277
2005-03-01,18.61048689138577
2005-04-01,24.888315041962557
2005-05-01,23.673112913287586
2005-06-01,25.179768041237114
2005-07-01,27.986284289276806
2005-08-01,30.15586034912718
2005-09-01,30.468387096774194
2005-10-01,27.30375
2005-11-01,31.214929214929214
2005-12-01,31.198378041172802
2006-01-01,17.271144278606965
2006-02-01,24.928867403314918
2006-03-01,31.710903426791276
2006-04-01,24.16709677419355
2006-05-01,21.55700934579439
2006-06-01,22.11439588688946
2006-07-01,23.537935323383085
2006-08-01,33.34207240948814
2006-09-01,34.257751937984494
2006-10-01,35.95380774032459
2006-11-01,27.482005141388175
2006-12-01,15.588418430884184
2007-01-01,16.528120098588392
2007-02-01,23.78249007936508
2007-03-01,26.193324372759857
2007-04-01,15.812962962962963
2007-05-01,28.65076164874552
2007-06-01,30.29074074074074
2007-07-01,25.92898745519713
2007-08-01,24.62948028673835
2007-09-01,25.344444444444445
2007-10-01,28.40143369175627
2007-11-01,26.588425925925925
2007-12-01,17.03293010752688
2008-01-01,20.570678336980308
2008-02-01,4.594064033652723
2008-03-01,32.53639344262295
2008-04-01,34.18834688346883
2008-05-01,28.031045037166592
2008-06-01,28.061091073038774
2008-07-01,25.510266491917868
2008-08-01,24.61166958041958
2008-09-01,27.738492779783392
2008-10-01,23.73192047192484
2008-11-01,40.82716606498195
2008-12-01,41.72957623416339
2009-01-01,30.24945343244425
2009-02-01,38.32187802516941
2009-03-01,30.289623467600702
2009-04-01,29.04539295392954
2009-05-01,25.387096774193548
2009-06-01,37.36355435272891
2009-07-01,27.558784965034967
2009-08-01,25.844036697247706
2009-09-01,30.12308039747064
2009-10-01,37.95957167832168
2009-11-01,38.06165311653117
2009-12-01,50.955171659741964
2010-01-01,44.7402743422532
2010-02-01,49.12872023809524
2010-03-01,32.15793010752688
2010-04-01,24.516898148148147
2010-05-01,37.56496415770609
2010-06-01,40.07962962962963
2010-07-01,30.56899641577061
2010-08-01,32.15953394577638
2010-09-01,39.28640889094698
2010-10-01,47.06944444444444
2010-11-01,57.919444444444444
2010-12-01,51.777553763440864
2011-01-01,30.84170305676856
2011-02-01,27.977756286266924
2011-03-01,22.648536478811707
2011-04-01,21.70877509587187
2011-05-01,27.227193365342647
2011-06-01,31.30229936880072
2011-07-01,36.15800960279354
2011-08-01,31.229089320812406
2011-09-01,33.93996840442338
2011-10-01,30.474694589877835
2011-11-01,30.392470694319208
2011-12-01,29.653435114503818
2012-01-01,16.455458515283844
2012-02-01,15.225513059701493
2012-03-01,7.375246009184343
2012-04-01,36.60662759242561
2012-05-01,25.331238779174146
2012-06-01,28.784941388638412
2012-07-01,31.77191452245966
2012-08-01,30.250982103884766
2012-09-01,34.97813345356177
2012-10-01,43.730744054113025
2012-11-01,46.425738111336486
2012-12-01,37.23303512982763
2013-01-01,39.515008960573475
2013-02-01,37.382688492063494
2013-03-01,45.881496415770606
2013-04-01,34.36643518518518
2013-05-01,39.78405017921147
2013-06-01,31.05185185185185
2013-07-01,28.39628136200717
2013-08-01,32.536066308243726
2013-09-01,32.682870370370374
2013-10-01,39.528673835125446
2013-11-01,51.42523148148148
2013-12-01,25.10282258064516
2014-01-01,46.64426523297491
2014-02-01,45.86582341269841
2014-03-01,30.128360215053764
2014-04-01,37.56458333333333
2014-05-01,30.895833333333332
2014-06-01,34.864583333333336
2014-07-01,38.94578853046595
2014-08-01,37.94534050179212
2014-09-01,40.589814814814815
2014-10-01,39.20116487455197
2014-11-01,54.82314814814815
2014-12-01,43.23879928315412
2015-01-01,29.642921146953405
2015-02-01,39.01364087301587
2015-03-01,26.07168458781362
2015-04-01,23.625925925925927
2015-05-01,34.06317204301075
2015-06-01,29.641352164852975
2015-07-01,34.4081541218638
2015-08-01,34.22849462365591
2015-09-01,39.391666666666666
2015-10-01,43.37410394265233
2015-11-01,32.12662037037037
2015-12-01,14.464381720430108
2016-01-01,30.936827956989248
2016-02-01,33.90900383141762
2016-03-01,37.38194444444444
2016-04-01,32.29259259259259
2016-05-01,34.954301075268816
2016-06-01,36.47847222222222
2016-07-01,30.581093189964157
2016-08-01,29.9502688172043
2016-09-01,35.58263888888889
2016-10-01,36.47289426523297
2016-11-01,43.64699074074074
2016-12-01,14.894041218637993
2017-01-01,18.961245519713263
2017-02-01,21.738095238095237
2017-03-01,19.926747311827956
2017-04-01,24.074305555555554
2017-05-01,28.780465949820787
2017-06-01,30.340740740740742
2017-07-01,32.91039426523297
2017-08-01,30.261424731182796
2017-09-01,38.48449074074074
2017-10-01,27.549059139784948
2017-11-01,40.25
2017-12-01,32.458781362007166
2018-01-01,31.37948028673835
2018-02-01,32.35094246031746
2018-03-01,52.75739247311828
2018-04-01,30.091435185185187
2018-05-01,33.331541218637994
2018-06-01,33.46813441483198
2018-07-01,31.697132616487455
2018-08-01,33.55241935483871
2018-09-01,31.08888888888889
2018-10-01,41.46319569120287
2018-11-01,48.53819444444444
2018-12-01,32.66129032258065
2019-01-01,32.482078853046595
2019-02-01,23.841269841269842
2019-03-01,20.780913978494624
2019-04-01,32.11527777777778
2019-05-01,36.26635304659498
2019-06-01,31.634027777777778
2019-07-01,35.91532258064516
2019-08-01,32.243503584229394
2019-09-01,31.162037037037038
2019-10-01,37.45609318996416
2019-11-01,67.63518518518518
2019-12-01,43.70318100358423
2020-01-01,16.742719534050178
2020-02-01,21.66139846743295
2020-03-01,27.54693100358423
2020-04-01,23.785069444444446
2020-05-01,29.574036738351253
2020-06-01,38.679398148148145
2020-07-01,31.22862599707898
2020-08-01,37.36827956989247
2020-09-01,34.49837962962963
2020-10-01,42.73286290322581
2020-11-01,29.138194444444444
2020-12-01,49.538978494623656
2021-01-01,42.173051075268816
2021-02-01,32.38950892857143
2021-03-01,14.3584229390681
2021-04-01,26.32349537037037
2021-05-01,31.68660394265233
2021-06-01,31.703776645041707
2021-07-01,33.78741039426523
2021-08-01,37.583781362007166
2021-09-01,32.37488425925926
2021-10-01,33.603270609319
2021-11-01,43.11712962962963
2021-12-01,38.670698924731184
2022-01-01,22.249663978494624
2022-02-01,21.300719246031747
2022-03-01,7.629368279569892
2022-04-01,29.248148148148147
2022-05-01,26.505936379928315
2022-06-01,32.163032069970846
2022-07-01,27.852486559139784
2022-08-01,30.905017921146953
2022-09-01,37.672222222222224
2022-10-01,30.920026881720432
2022-11-01,42.350462962962965
2022-12-01,43.5828853046595
2023-01-01,35.95004480286738
2023-02-01,8.127852182539682
2023-03-01,36.99753584229391
2023-04-01,29.069560185185185
2023-05-01,33.54816308243728
2023-06-01,39.81550925925926
2023-07-01,37.52732974910394
2023-08-01,39.94556451612903
2023-09-01,37.913078703703704
2023-10-01,46.91487455197132
2023-11-01,52.736921296296295
2023-12-01,41.8475582437276
